food_id,food_name,amount,category,calories,protein,carbohydrate,sugar,fat,sodium,suitable_for_disease,food_type
172,ราสเบอร์รี่,100 g,ผลไม้,65.0,1.5,14.7,5.4,0.8,0.0,โรคความดันโลหิตสูง,โซเดียมต่ำ
173,เเซลม่อน,100 g,อาหารจานหลัก,142.0,19.8,0.0,0.0,44.0,6.3,โรคความดันโลหิตสูง,โซเดียมต่ำ
174,สเต๊กปลาแซลมอน,100 g,อาหารจานหลัก,208.0,20.0,0.0,0.0,13.0,59.0,โรคความดันโลหิตสูง,โซเดียมต่ำ
175,อกไก่,100 g,อาหารจานหลัก,165.0,31.0,0.0,0.0,3.9,507.0,โรคหัวใจ,ไขมันต่ำ
176,"โยเกิร์ต, กรีก, ไร้ไขมัน",100 g,เครื่องดื่ม,59.0,10.2,3.6,3.2,0.4,36.0,โรคหัวใจ,ไขมันต่ำ
177,เต้าหู้,126 g,อาหารจานหลัก,181.0,21.8,3.5,2.7,11.0,17.6,โรคหัวใจ,ไขมันต่ำ
178,เนยถั่วลิสงบด,100 g,ขนม,94.0,4.0,3.0,3.4,8.0,134.4,โรคหัวใจ,ไขมันต่ำ
179,สลัดทูน่าไข่ต้ม,443 g,อาหารจานหลัก,395.0,44.0,9.0,13.0,19.0,140.0,โรคหัวใจ,ไขมันต่ำ
180,แซนด์วิชอกไก่อะโวคาโด,100 g,ขนม,385.0,19.0,34.0,5.0,19.0,0.0,โรคหัวใจ,ไขมันต่ำ
181,ไข่ต้ม,50 g,อาหารจานหลัก,77.0,6.3,0.6,1.1,5.3,71.0,โรคหัวใจ,ไขมันต่ำ
182,กุ้ง,100 g,อาหารจานหลัก,99.0,24.0,0.2,0.0,0.3,111.0,โรคหัวใจ,ไขมันต่ำ
183,ข้าวอกไก่ผัดขิง,100 g,อาหารจานหลัก,246.0,34.1,19.4,5.1,3.8,119.0,โรคหัวใจ,ไขมันต่ำ
184,ข้าวไรซ์เบอร์รี่,100 g,อาหารจานหลัก,111.0,2.6,23.0,0.4,0.9,5.0,โรคหัวใจ,ไขมันต่ำ
185,โจ๊กรสไก่และข้าวโพด,100 g,อาหารจานหลัก,343.0,8.6,77.1,5.7,0.0,350.0,โรคหัวใจ,ไขมันต่ำ
186,ชาเขียว,100 g,เครื่องดื่ม,141.0,7.0,8.0,0.0,0.0,10.0,โรคหัวใจ,ไขมันต่ำ
187,นมจืด ไขมัน 0%,100 ml,เครื่องดื่ม,70.0,7.0,11.0,5.1,0.2,90.0,โรคหัวใจ,ไขมันต่ำ
188,โยเกิร์ต Fat 0%,100 g,เครื่องดื่ม,80.0,6.0,14.0,10.0,0.0,90.0,โรคหัวใจ,ไขมันต่ำ
189,ปลาหมึกอบปรุงรส,100 g,ขนม,250.0,33.3,33.3,8.3,0.0,2.8,โรคหัวใจ,ไขมันต่ำ
190,ข้าวโพด,100 g,ผลไม้,86.0,3.3,18.7,6.3,1.4,15.0,โรคหัวใจ,ไขมันต่ำ
191,ใบเหลียงผัดไข่,200 g,อาหารจานหลัก,234.0,10.5,25.3,3.4,9.5,2171.0,โรคเบาหวาน,น้ำตาลต่ำ
192,แซลมอนย่าง,100 g,อาหารจานหลัก,226.0,25.0,0.0,0.0,14.0,47.0,โรคเบาหวาน,น้ำตาลต่ำ
193,ข้าวกล้อง,100 g,อาหารจานหลัก,123.0,2.7,25.6,0.0,1.0,5.0,โรคเบาหวาน,น้ำตาลต่ำ
194,เมล็ดทานตะวันอบแห้ง,100 g,ขนม,490.0,16.7,38.6,0.1,32.8,102.0,โรคเบาหวาน,น้ำตาลต่ำ
195,เม็ดมะม่วงหิมพานต์,100 g,ขนม,553.0,18.2,30.2,5.0,43.9,12.0,โรคเบาหวาน,น้ำตาลต่ำ
196,บรอกโคลีผัดเห็ดหอม,100 g,อาหารจานหลัก,464.0,23.1,146.4,3.8,23.4,2390.0,โรคเบาหวาน,น้ำตาลต่ำ
197,ยำไข่ต้ม,100 g,อาหารจานหลัก,165.0,14.6,1.1,1.5,10.6,1744.0,โรคเบาหวาน,น้ำตาลต่ำ
198,ลาบไก่,100 g,อาหารจานหลัก,165.0,32.2,2.6,0.5,3.3,74.6,โรคเบาหวาน,น้ำตาลต่ำ
199,ไข่ตุ๋นทรงเครื่อง,50 g,อาหารจานหลัก,72.0,6.3,0.4,0.2,4.8,71.0,โรคเบาหวาน,น้ำตาลต่ำ
200,ส้มตำไทย,100 g,อาหารจานหลัก,240.0,13.6,38.5,4.0,5.9,1568.0,โรคเบาหวาน,น้ำตาลต่ำ
201,กะเพราอกไก่คลีน,100 g,อาหารจานหลัก,351.0,38.0,34.4,6.5,5.5,0.0,โรคความดันโลหิตสูง,โซเดียมต่ำ
202,ปลากะพงนึ่งซีอิ๊ว,65 g,อาหารจานหลัก,125.0,13.0,2.0,1.0,7.0,330.0,โรคความดันโลหิตสูง,โซเดียมต่ำ
203,ผัดฟักทองใส่ไข่,100 g,อาหารจานหลัก,242.0,14.3,9.1,4.5,16.3,826.0,โรคความดันโลหิตสูง,โซเดียมต่ำ
204,ผัดหมี่ทะเล,100 g,อาหารจานหลัก,508.0,35.0,82.7,0.0,10.9,116.0,โรคความดันโลหิตสูง,โซเดียมต่ำ
205,ซุปไก่มันฝรั่ง,586 g,อาหารจานหลัก,414.0,40.0,40.0,1.0,10.0,340.0,โรคความดันโลหิตสูง,โซเดียมต่ำ
206,ลาบทูน่า,100 g,อาหารจานหลัก,73.3,11.6,6.1,2.1,0.8,100.0,โรคความดันโลหิตสูง,โซเดียมต่ำ
207,อกไก่นึ่งสมุนไพร,100 g,อาหารจานหลัก,287.0,45.0,6.0,2.0,9.0,0.0,โรคความดันโลหิตสูง,โซเดียมต่ำ
208,ผัดผักบล็อคโคลี่กุ้ง,200 g,อาหารจานหลัก,392.0,23.0,45.0,2.0,14.0,1700.0,โรคความดันโลหิตสูง,โซเดียมต่ำ
209,ปลาผัดพริกไทยดำ,245 g,อาหารจานหลัก,439.0,17.0,68.0,2.0,11.0,720.0,โรคความดันโลหิตสูง,โซเดียมต่ำ
210,ไก่ตุ๋นเห็ดหอม,100 g,อาหารจานหลัก,76.0,8.0,7.5,2.0,1.7,112.0,โรคความดันโลหิตสูง,โซเดียมต่ำ
211,Chia Seeds,100 g,ผลไม้,486.0,16.5,42.1,0.0,30.7,16.0,โรคเบาหวาน,น้ำตาลต่ำ
212,Cucumber,100 g,ผลไม้,16.0,0.7,3.6,1.7,0.1,2.0,โรคเบาหวาน,น้ำตาลต่ำ
213,Garlic,100 g,ผลไม้,149.0,6.4,33.1,1.0,0.5,17.0,โรคเบาหวาน,น้ำตาลต่ำ
214,Lettuce,100 g,อาหารจานหลัก,15.0,1.4,2.9,0.8,0.2,3.0,โรคเบาหวาน,น้ำตาลต่ำ
215,Okra,100 g,อาหารจานหลัก,33.0,2.0,7.5,1.5,0.2,7.0,โรคเบาหวาน,น้ำตาลต่ำ
216,Onion,100 g,อาหารจานหลัก,40.0,1.1,9.3,4.2,0.1,4.0,โรคเบาหวาน,น้ำตาลต่ำ
217,Cabbage,100 g,อาหารจานหลัก,25.0,1.3,6.0,3.2,0.1,18.0,โรคความดันโลหิตสูง,โซเดียมต่ำ
218,Cranberries (fresh),100 g,ผลไม้,46.0,0.4,12.0,4.0,0.1,2.0,โรคความดันโลหิตสูง,โซเดียมต่ำ
219,Edamame (boiled),100 g,อาหารจานหลัก,121.0,11.0,10.0,2.2,5.2,6.0,โรคความดันโลหิตสูง,โซเดียมต่ำ
220,Green Peas (boiled),100 g,อาหารจานหลัก,81.0,5.4,14.0,5.7,0.4,5.0,โรคความดันโลหิตสูง,โซเดียมต่ำ
221,Honeydew Melon,100 g,ผลไม้,36.0,0.5,9.0,8.0,0.1,18.0,โรคความดันโลหิตสูง,โซเดียมต่ำ
222,Leek,100 g,อาหารจานหลัก,61.0,1.5,14.0,3.9,0.3,20.0,โรคความดันโลหิตสูง,โซเดียมต่ำ
223,Applesauce (unsweetened),100 g,ผลไม้,68.0,0.2,17.0,13.0,0.1,1.0,โรคความดันโลหิตสูง,โซเดียมต่ำ
224,Brussels Sprouts,100 g,อาหารจานหลัก,43.0,3.4,9.0,2.2,0.3,25.0,โรคความดันโลหิตสูง,โซเดียมต่ำ
225,Tomato,100 g,ผลไม้,18.0,0.9,3.9,2.6,0.2,5.0,โรคหัวใจ,ไขมันต่ำ
226,Tofu (firm),100 g,อาหารจานหลัก,76.0,8.0,2.0,0.3,4.8,7.0,โรคหัวใจ,ไขมันต่ำ
227,Lentils (boiled),100 g,อาหารจานหลัก,116.0,9.0,20.0,1.8,0.4,2.0,โรคหัวใจ,ไขมันต่ำ
228,Black Beans (boiled),100 g,อาหารจานหลัก,132.0,9.0,23.0,0.3,0.5,1.0,โรคหัวใจ,ไขมันต่ำ
229,Quinoa (cooked),100 g,อาหารจานหลัก,120.0,4.1,21.0,0.9,1.9,7.0,โรคหัวใจ,ไขมันต่ำ
230,Brown Rice (cooked),100 g,อาหารจานหลัก,123.0,2.7,25.0,0.4,1.0,4.0,โรคหัวใจ,ไขมันต่ำ
